State,Action
"(46, 2600)","(820, 680)"
"(94, 2310)","(750, 750)"
"(334, 1770)","(590, 900)"
"(61, 2260)","(720, 770)"
"(211, 1800)","(560, 920)"
"(244, 1870)","(620, 880)"
"(40, 2380)","(750, 740)"
"(70, 1420)","(300, 1200)"
"(55, 2090)","(650, 840)"
"(394, 2570)","(940, 550)"
"(154, 1830)","(560, 930)"
"(154, 2220)","(740, 760)"
"(325, 1510)","(390, 1100)"
"(79, 1950)","(600, 900)"
"(277, 1680)","(510, 980)"
"(184, 2030)","(670, 820)"
"(172, 1670)","(470, 1030)"
"(298, 1850)","(630, 870)"
"(271, 2280)","(800, 690)"
"(346, 2160)","(790, 700)"
"(157, 2000)","(650, 850)"
"(166, 2130)","(710, 790)"
"(25, 2200)","(690, 810)"
"(238, 1460)","(320, 1180)"
"(220, 1530)","(380, 1120)"
"(301, 1710)","(540, 950)"
"(346, 1560)","(440, 1050)"
"(139, 1950)","(620, 880)"
"(34, 1750)","(480, 1020)"
"(322, 2020)","(720, 770)"
"(7, 2580)","(800, 690)"
"(70, 2250)","(720, 780)"
"(97, 1990)","(620, 870)"
"(97, 2190)","(710, 790)"
"(22, 1760)","(480, 1010)"
"(385, 2250)","(840, 650)"
"(115, 2490)","(810, 680)"
"(22, 1630)","(400, 1100)"
"(31, 2160)","(670, 820)"
"(199, 1610)","(430, 1050)"
"(238, 1780)","(560, 930)"
"(385, 1710)","(570, 910)"
"(397, 1550)","(450, 1030)"
"(358, 2390)","(880, 620)"
"(145, 2540)","(840, 660)"
"(193, 1540)","(380, 1120)"
"(223, 2080)","(710, 790)"
"(7, 1990)","(590, 890)"
"(193, 1620)","(440, 1060)"
"(280, 2110)","(740, 750)"
"(112, 2520)","(820, 680)"
"(157, 1410)","(300, 1200)"
"(328, 2040)","(730, 760)"
"(52, 1920)","(580, 920)"
"(187, 1500)","(340, 1150)"
"(40, 2460)","(780, 720)"
"(64, 2560)","(810, 680)"
"(211, 1910)","(630, 870)"
"(175, 1720)","(500, 990)"
"(31, 1430)","(300, 1200)"
"(364, 2190)","(810, 680)"
"(310, 2490)","(890, 610)"
"(130, 1630)","(430, 1070)"
"(109, 2130)","(690, 810)"
"(331, 1700)","(550, 950)"
"(178, 1560)","(390, 1110)"
"(127, 2210)","(730, 770)"
"(379, 2600)","(940, 550)"
"(376, 1520)","(420, 1080)"
"(91, 1770)","(510, 990)"
"(121, 1620)","(420, 1080)"
"(73, 1930)","(590, 910)"
"(181, 2090)","(700, 800)"
"(67, 2560)","(820, 680)"
"(121, 2390)","(780, 710)"
"(367, 2180)","(810, 690)"
"(319, 1720)","(550, 930)"
"(256, 1990)","(680, 810)"
"(217, 1660)","(480, 1020)"
"(70, 2110)","(670, 830)"
"(13, 2080)","(640, 860)"
"(7, 1670)","(420, 1070)"
"(352, 1590)","(470, 1020)"
"(31, 1980)","(600, 900)"
"(397, 2220)","(840, 660)"
"(103, 1890)","(580, 920)"
"(286, 2360)","(830, 650)"
