State,TDS_Air,TDS_Nutrisi,TDS_Hasil,Reward,Action,Total_Volume,Q_Value
"(316, 1670)",316,1670,902.73,-2.73,"(850, 650)",1500,-0.27333333333333487
"(352, 1770)",352,1770,900.29,-0.29,"(920, 580)",1500,-0.029333333333329395
"(352, 1400)",352,1400,900.62,-1.62,"(710, 780)",1490,-0.16174496644295006
"(229, 1450)",229,1450,900.96,-1.96,"(670, 820)",1490,-0.1959731543624116
"(22, 2290)",22,2290,898.96,-1.04,"(920, 580)",1500,-0.10399999999999637
"(172, 2250)",172,2250,897.21,-3.79,"(970, 520)",1490,-0.3791946308724846
"(379, 1540)",379,1540,901.06,-2.06,"(820, 670)",1490,-0.2060402684563769
"(235, 1400)",235,1400,899.6,-1.4,"(640, 850)",1490,-0.14026845637583849
"(31, 2080)",31,2080,897.36,-3.64,"(860, 630)",1490,-0.3644295302013461
"(61, 2030)",61,2030,901.11,-1.11,"(860, 640)",1500,-0.21026666666666985
"(103, 1560)",103,1560,899.49,-0.51,"(680, 820)",1500,-0.05066666666666606
"(160, 1950)",160,1950,899.87,-0.13,"(880, 620)",1500,-0.013333333333332576
"(16, 2120)",16,2120,899.68,-0.32,"(870, 630)",1500,-0.032000000000005004
"(94, 1690)",94,1690,902.64,-2.64,"(740, 760)",1500,-0.2639999999999986
"(148, 1820)",148,1820,899.84,-1.16,"(820, 670)",1490,-0.11610738255033085
"(373, 2180)",373,2180,903.05,-3.05,"(1060, 440)",1500,-0.3053333333333285
"(145, 2010)",145,2010,901.08,-3.08,"(880, 600)",1480,-0.30810810810810385
"(43, 2450)",43,2450,899.18,-1.82,"(960, 530)",1490,-0.1818791946308693
"(301, 2180)",301,2180,902.28,-2.28,"(1020, 480)",1500,-0.2279999999999973
"(16, 2510)",16,2510,897.21,-2.79,"(970, 530)",1500,-0.27866666666666334
"(211, 1850)",211,1850,899.38,-0.62,"(870, 630)",1500,-0.06200000000000046
"(325, 1870)",325,1870,901.8,-1.8,"(940, 560)",1500,-0.17999999999999547
"(190, 1880)",190,1880,899.8,-0.2,"(870, 630)",1500,-0.02000000000000455
"(370, 1840)",370,1840,899.2,-0.8,"(960, 540)",1500,-0.07999999999999546
"(397, 1710)",397,1710,899.29,-1.71,"(920, 570)",1490,-0.17114093959731919
"(184, 1970)",184,1970,898.4,-1.6,"(900, 600)",1500,-0.16000000000000228
"(304, 2330)",304,2330,898.29,-1.71,"(1060, 440)",1500,-0.17066666666667063
"(349, 2490)",349,2490,902.46,-5.46,"(1090, 380)",1470,-0.545578231292518
"(16, 1440)",16,1440,898.88,-1.12,"(570, 930)",1500,-0.11200000000000046
"(139, 1450)",139,1450,899.38,-0.62,"(630, 870)",1500,-0.06200000000000046
"(112, 2590)",112,2590,898.93,-3.07,"(1010, 470)",1480,-0.3067567567567608
"(19, 1700)",19,1700,898.99,-2.01,"(710, 780)",1490,-0.20134228187919234
"(127, 1480)",127,1480,898.85,-2.15,"(640, 850)",1490,-0.21543624161073469
"(187, 2270)",187,2270,899.97,-1.03,"(980, 510)",1490,-0.1026845637583847
"(130, 1480)",130,1480,900.13,-1.13,"(640, 850)",1490,-0.11342281879194616
"(19, 1950)",19,1950,900.26,-1.26,"(810, 680)",1490,-0.12617449664429614
"(145, 1580)",145,1580,900.77,-0.77,"(710, 790)",1500,-0.07666666666666516
"(268, 2580)",268,2580,904.19,-5.19,"(1080, 410)",1490,-0.5187919463087269
"(226, 2350)",226,2350,900.51,-2.51,"(1010, 470)",1480,-0.25135135135135445
"(211, 2450)",211,2450,897.63,-2.37,"(1040, 460)",1500,-0.2373333333333335
"(52, 2010)",52,2010,900.47,-0.47,"(850, 650)",1500,-0.0466666666666697
"(124, 1630)",124,1630,897.08,-2.92,"(730, 770)",1500,-0.29199999999999593
"(316, 2540)",316,2540,898.12,-2.88,"(1100, 390)",1490,-0.2879194630872462
"(373, 2120)",373,2120,900.62,-1.62,"(1040, 450)",1490,-0.16174496644295006
"(223, 1730)",223,1730,900.64,-1.64,"(820, 670)",1490,-0.1644295302013461
"(79, 2450)",79,2450,900.95,-0.95,"(980, 520)",1500,-0.09466666666667152
"(298, 2060)",298,2060,901.1,-2.1,"(980, 510)",1490,-0.2100671140939653
"(352, 2500)",352,2500,899.81,-1.19,"(1110, 380)",1490,-0.2257046979865811
"(385, 1710)",385,1710,900.77,-1.77,"(910, 580)",1490,-0.17718120805369608
"(121, 2240)",121,2240,897.97,-2.03,"(950, 550)",1500,-0.2033333333333303
"(361, 2350)",361,2350,902.22,-5.22,"(1070, 400)",1470,-0.5224489795918317
"(142, 2470)",142,2470,902.48,-2.48,"(1010, 490)",1500,-0.24800000000000183
"(391, 1890)",391,1890,900.66,-0.66,"(990, 510)",1500,-0.06599999999999683
"(355, 1670)",355,1670,898.53,-1.47,"(880, 620)",1500,-0.1466666666666697
"(97, 2090)",97,2090,899.55,-1.45,"(890, 600)",1490,-0.14496644295302305
"(139, 2350)",139,2350,900.9,-2.9,"(970, 510)",1480,-0.28986486486486457
"(22, 2060)",22,2060,897.38,-3.62,"(850, 640)",1490,-0.6873154362416052
"(214, 1460)",214,1460,899.72,-1.28,"(670, 820)",1490,-0.12818791946308467
"(313, 1760)",313,1760,901.45,-1.45,"(890, 610)",1500,-0.14466666666667152
