State,TDS_Air,TDS_Nutrisi,TDS_Hasil,Reward,Action,Total_Volume,Q_Value
"(19, 2280)",19,2280,599.53,-1.47,"(550, 190)",740,-0.14729729729730254
"(145, 1930)",145,1930,597.2,-2.8,"(560, 190)",750,-0.2799999999999955
"(97, 1460)",97,1460,601.12,-3.12,"(460, 270)",730,-0.31232876712329016
"(334, 1750)",334,1750,598.32,-1.68,"(610, 140)",750,-0.16799999999999501
"(292, 2420)",292,2420,600.41,-6.41,"(590, 100)",690,-0.6405797101449253
"(247, 1490)",247,1490,599.74,-1.26,"(530, 210)",740,-0.23878378378378673
"(184, 2170)",184,2170,597.75,-5.25,"(570, 150)",720,-0.525
"(169, 1910)",169,1910,598.29,-3.71,"(550, 180)",730,-0.37123287671232674
"(172, 1820)",172,1820,600.93,-2.93,"(540, 190)",730,-0.2931506849315042
"(313, 2050)",313,2050,598.53,-3.47,"(610, 120)",730,-0.34657534246575783
"(325, 1670)",325,1670,597.64,-3.36,"(590, 150)",740,-0.3364864864864899
"(268, 2090)",268,2090,601.61,-5.61,"(580, 130)",710,-0.5605633802816897
"(55, 1480)",55,1480,601.58,-3.58,"(450, 280)",730,-0.35753424657534655
"(325, 2540)",325,2540,590.8,-9.2,"(660, 90)",750,-0.9200000000000046
"(181, 2090)",181,2090,599.41,-2.59,"(570, 160)",730,-0.2589041095890366
"(244, 2200)",244,2200,597.17,-5.83,"(590, 130)",720,-0.5833333333333371
"(337, 1690)",337,1690,600.08,-3.08,"(580, 140)",720,-0.3083333333333371
"(379, 1940)",379,1940,598.86,-5.14,"(610, 100)",710,-0.514084507042253
"(181, 1860)",181,1860,600.75,-3.75,"(540, 180)",720,-0.375
"(322, 2550)",322,2550,600.5,-3.5,"(630, 90)",720,-0.35000000000000003
"(394, 2340)",394,2340,601.57,-1.57,"(670, 80)",750,-0.15733333333333804
"(274, 2310)",274,2310,599.76,-0.24,"(630, 120)",750,-0.02400000000000091
"(292, 1610)",292,1610,598.93,-3.07,"(560, 170)",730,-0.30684931506849583
"(193, 1520)",193,1520,599.95,-0.05,"(520, 230)",750,-0.005333333333328483
"(298, 1790)",298,1790,600.43,-1.43,"(590, 150)",740,-0.14324324324323925
"(217, 1460)",217,1460,598.19,-1.81,"(520, 230)",750,-0.18133333333333895
